order_date,year,quarter,month,month_name,region,country,category,subcategory,customer_segment,quantity,unit_price,revenue,cost,profit,profit_margin
2023-12-12,2023,4,12,December,Asia Pacific,Country_4,Electronics,Smartphones,Corporate,7,79.98,559.83,391.83,168.0,0.3001
2024-02-25,2024,1,2,February,Latin America,Country_3,Electronics,Laptops,Home Office,9,26.21,235.85,167.94,67.92,0.288
2023-06-28,2023,2,6,June,Asia Pacific,Country_2,Electronics,Laptops,Corporate,1,425.22,425.22,300.46,124.76,0.2934
2023-02-26,2023,1,2,February,Asia Pacific,Country_6,Clothing,Shoes,Corporate,9,34.98,314.82,216.89,97.93,0.3111
2022-06-28,2022,2,6,June,North America,Country_1,Furniture,Tables,Home Office,6,140.34,842.05,437.5,404.56,0.4804
2023-12-22,2023,4,12,December,Asia Pacific,Country_4,Electronics,Smartphones,Corporate,6,174.32,1045.94,601.57,444.37,0.4249
2022-02-17,2022,1,2,February,Asia Pacific,Country_4,Clothing,Pants,Corporate,8,137.89,1103.16,850.3,252.85,0.2292
2024-08-31,2024,3,8,August,North America,Country_2,Clothing,Shirts,Home Office,6,250.31,1501.87,938.67,563.2,0.375
2024-05-09,2024,2,5,May,Europe,Country_5,Clothing,Pants,Corporate,6,261.07,1566.43,1103.51,462.92,0.2955
2024-10-20,2024,4,10,October,North America,Country_1,Office Supplies,Pens,Consumer,2,469.79,939.58,559.52,380.06,0.4045
2022-01-07,2022,1,1,January,North America,Country_1,Furniture,Beds,Corporate,6,227.19,1363.15,734.28,628.87,0.4613
2022-02-22,2022,1,2,February,North America,Country_3,Furniture,Tables,Consumer,9,203.5,1831.53,1115.9,715.63,0.3907
2023-07-26,2023,3,7,July,Latin America,Country_3,Clothing,Shoes,Corporate,7,361.93,2533.53,1661.1,872.42,0.3444
2024-12-01,2024,4,12,December,Latin America,Country_8,Electronics,Laptops,Corporate,6,300.51,1803.07,1226.47,576.6,0.3198
2022-07-01,2022,3,7,July,Asia Pacific,Country_7,Office Supplies,Paper,Corporate,5,280.62,1403.08,968.03,435.05,0.3101
2023-11-02,2023,4,11,November,Latin America,Country_2,Clothing,Shirts,Corporate,8,372.81,2982.45,1917.58,1064.86,0.357
2023-09-07,2023,3,9,September,Latin America,Country_9,Electronics,Tablets,Home Office,6,320.07,1920.45,1446.99,473.45,0.2465
2022-01-15,2022,1,1,January,Europe,Country_7,Furniture,Tables,Corporate,6,244.73,1468.4,1148.12,320.28,0.2181
2022-08-31,2022,3,8,August,Latin America,Country_9,Furniture,Beds,Consumer,6,288.57,1731.42,1310.8,420.62,0.2429
2022-11-16,2022,4,11,November,Asia Pacific,Country_2,Office Supplies,Paper,Corporate,8,285.15,2281.21,1569.91,711.29,0.3118
2023-08-31,2023,3,8,August,Latin America,Country_7,Office Supplies,Pens,Consumer,7,32.92,230.46,151.4,79.06,0.3431
2022-07-31,2022,3,7,July,North America,Country_7,Electronics,Laptops,Home Office,6,85.34,512.03,367.0,145.03,0.2832
2022-01-04,2022,1,1,January,Europe,Country_2,Clothing,Shirts,Consumer,6,164.82,988.9,570.28,418.62,0.4233
2023-09-04,2023,3,9,September,Europe,Country_5,Furniture,Tables,Home Office,9,55.65,500.82,374.71,126.1,0.2518
2024-03-27,2024,1,3,March,Latin America,Country_8,Clothing,Pants,Corporate,9,98.71,888.43,460.9,427.53,0.4812
2022-02-23,2022,1,2,February,North America,Country_7,Office Supplies,Pens,Corporate,7,332.61,2328.28,1218.19,1110.09,0.4768
2023-05-19,2023,2,5,May,Europe,Country_7,Clothing,Shoes,Home Office,2,109.83,219.66,143.95,75.71,0.3447
2022-01-23,2022,1,1,January,Latin America,Country_4,Furniture,Chairs,Consumer,6,275.88,1655.27,870.52,784.75,0.4741
2022-01-13,2022,1,1,January,Europe,Country_2,Electronics,Smartphones,Corporate,5,174.15,870.73,623.18,247.55,0.2843
2023-12-22,2023,4,12,December,Asia Pacific,Country_6,Office Supplies,Paper,Consumer,3,315.83,947.49,609.22,338.27,0.357
2023-11-04,2023,4,11,November,North America,Country_2,Office Supplies,Paper,Corporate,6,234.35,1406.09,830.43,575.67,0.4094
2022-08-25,2022,3,8,August,Europe,Country_5,Electronics,Laptops,Corporate,5,463.12,2315.62,1784.19,531.43,0.2295
2022-07-12,2022,3,7,July,North America,Country_1,Office Supplies,Pens,Consumer,3,300.53,901.6,577.88,323.72,0.359
2024-05-05,2024,2,5,May,Europe,Country_2,Clothing,Shoes,Home Office,6,206.94,1241.67,934.9,306.77,0.2471
2023-12-27,2023,4,12,December,Asia Pacific,Country_6,Furniture,Beds,Consumer,1,103.35,103.35,76.34,27.01,0.2614
2024-03-29,2024,1,3,March,North America,Country_2,Office Supplies,Paper,Consumer,4,172.39,689.57,389.74,299.83,0.4348
